os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.0010421966666669391,0.000518856666667844,0.00010293400000271902,2.4982000001116944e-05,1.2019866666990175e-06,6.224400000420793e-07,1.0166666669642055e-07,1.9600000011887886e-08,8.75511333333634e-05,3.055653333028374e-05,1.0197333333294978e-05,0.0,1.7268759999966576e-05,8.175200000293259e-07,3.6733333319549644e-08,0.0
0.001041711333332529,0.0005186301666650905,0.00010291333333256603,2.497200000028954e-05,1.203023333340436e-06,6.228966666355085e-07,1.016666666409094e-07,1.9599999956376735e-08,8.752201666339943e-05,3.060439999913456e-05,1.018316666900887e-05,0.0,1.7268686666682687e-05,8.176566666517893e-07,3.66666665918558e-08,0.0
0.0010412159999990678,0.0005183936666650624,0.0001028826666669147,2.496599999801674e-05,1.2041266667095485e-06,6.234200000121426e-07,1.0173333331309209e-07,1.9600000011887886e-08,8.748289999616077e-05,3.066226666703642e-05,1.0179000001997451e-05,0.0,1.7268546666615592e-05,8.178600000019465e-07,3.666666664736695e-08,0.0
0.0010407146666668865,0.0005181511666663141,0.00010284600000076694,2.495666666568752e-05,1.2052300000231497e-06,6.239433333332656e-07,1.0180000004078593e-07,1.9666666684070577e-08,8.743778333197838e-05,3.072613333188201e-05,1.0180833333706119e-05,0.0,1.7268406666604008e-05,8.180633333521037e-07,3.6666666702878103e-08,0.0
0.001040202666667156,0.0005178980000000166,0.00010279866666706994,2.4946666664860118e-05,1.206333333336751e-06,6.244666666543885e-07,1.0186666665745747e-07,1.9600000011887886e-08,8.73819999984704e-05,3.080066666427683e-05,1.0193333332964016e-05,0.0,1.7268266666647936e-05,8.182666666467497e-07,3.666666664736695e-08,0.0
0.0010400286000002978,0.000517809299999783,0.00010277766666710875,2.4940000001194562e-05,1.2063516666716012e-06,6.244833333779454e-07,1.0186666671296862e-07,1.9600000067399037e-08,8.765811666577861e-05,3.0712099997387554e-05,1.0178333333499268e-05,0.0,1.726919999994747e-05,8.179700000110479e-07,3.6616666698741085e-08,0.0
0.0010398445333343886,0.0005177106000004983,0.00010274666666809651,2.4930000002143515e-05,1.2064366666786341e-06,6.245666666626626e-07,1.0193333332964016e-07,1.9666666628559426e-08,8.79242333322594e-05,3.063353332954932e-05,1.0173333333085566e-05,0.0,1.7270066666630335e-05,8.177399999920176e-07,3.663333336678676e-08,0.0
0.0010396537999994848,0.000517605233332219,0.00010270900000008965,2.492399999809436e-05,1.206521666685667e-06,6.246500000584021e-07,1.0200000000182285e-07,1.9666666684070577e-08,8.818368333152193e-05,3.0561633332482074e-05,1.0174999999890133e-05,0.0,1.7270933333257688e-05,8.175100000284985e-07,3.665000003483243e-08,0.0
0.0010394524000005845,0.0005174891999999431,0.00010266066666808626,2.4913333334097842e-05,1.2066066666927e-06,6.247333333431193e-07,1.0206666667400555e-07,1.9666666684070577e-08,8.843246666501159e-05,3.0500399997634986e-05,1.0187333332467574e-05,0.0,1.727179999994055e-05,8.172800000094682e-07,3.6666666702878103e-08,0.0
0.0010392416666675786,0.0005173638333335617,0.00010263733333459868,2.4904000001768622e-05,1.2067583333164045e-06,6.248833333555304e-07,1.0210000001009689e-07,1.9733333300742117e-08,8.867191666617202e-05,3.0448499996893474e-05,1.0175666664835603e-05,0.0,1.7272600000006744e-05,8.171166666626206e-07,3.663333336678676e-08,0.0
0.0010390249333340762,0.0005172324666666839,0.00010260800000239101,2.489866666621765e-05,1.20690999999562e-06,6.250333333124303e-07,1.0213333329067709e-07,1.973333335625327e-08,8.890536666683602e-05,3.0402599996648405e-05,1.0169999997700074e-05,0.0,1.7273400000017425e-05,8.16953333315773e-07,3.659999997518426e-08,0.0
0.0010388008666666337,0.0005170937666658659,0.00010257133333446689,2.489199999899938e-05,1.2071283333470184e-06,6.252500000525352e-07,1.0223333335446227e-07,1.973333335625327e-08,8.913148333178356e-05,3.0364033330343432e-05,1.0171666666280998e-05,0.0,1.7274133333300412e-05,8.168566666966193e-07,3.6633333311275607e-08,0.0
0.0010385661333334184,0.0005169443999992751,0.00010252400000076989,2.488533333355747e-05,1.2073466666984167e-06,6.254666666816178e-07,1.0233333336273631e-07,1.979999997292481e-08,8.934693333273458e-05,3.033613333158769e-05,1.018399999885844e-05,0.0,1.727486666663891e-05,8.167600000219544e-07,3.666666664736695e-08,0.0
0.0010383220666660975,0.0005167856999985787,0.00010250166666736504,2.487466666423188e-05,1.2075649999943039e-06,6.256833333662115e-07,1.0233333336273631e-07,1.973333335625327e-08,8.955304999780367e-05,3.0317566665161166e-05,1.0171499999600542e-05,0.0,1.727559999997741e-05,8.166633333472895e-07,3.658333330713859e-08,0.0
0.0010380713333333347,0.0005166203333324404,0.00010247266666674193,2.486466666695719e-05,1.207850000017885e-06,6.259666666674768e-07,1.0239999997940785e-07,1.979999997292481e-08,8.97524999992072e-05,3.0305666664176556e-05,1.0165666665784556e-05,0.0,1.7276266666643725e-05,8.166333333448073e-07,3.6566666639092915e-08,0.0
0.0010378106000015208,0.0005164449666654747,0.00010243366666706777,2.485533333462797e-05,1.2081349999859547e-06,6.262499999687421e-07,1.0246666665159054e-07,1.979999997292481e-08,8.994194999978333e-05,3.030376666401935e-05,1.0169833332795974e-05,0.0,1.727693333331004e-05,8.166033332868139e-07,3.6550000026558394e-08,0.0
0.0010375432000007123,0.0005162629333312907,0.00010238800000017534,2.484799999891152e-05,1.2084866666817184e-06,6.265999999977012e-07,1.0259999999595593e-07,1.979999997292481e-08,9.012473333136484e-05,3.0308533331080412e-05,1.0180666667025662e-05,0.0,1.7277533333304174e-05,8.166399999565144e-07,3.660000003069541e-08,0.0
